,0,1,2,3,4,5,6,7,8,9
Big Wild,"""New Music Friday 02/01/19"" by Spotify:
    Billie Eilish - bury a friend
    Lil Peep - I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
    Gunna -...","""Awaken"" by Big Wild:
    Find your way home
    Find your way home
    Find your way home
    
    
    Find your way home
    Find your way home","""Touch"" by Big Wild:
    Tell me is it true? (Is it true?)
    That love without a spark, leaves you in the dark
    Gripping at my h...",,,"""Purple Sand (My Home)"" by Big Wild:
    There's a sound ringing in my head
    Gold faces dancing in the sand
    
    She’s got the movement, she's got...","""Show Me"" by Big Wild:
    Don't let me show cruelty though I may make mistakes
    Don't let me show ugliness though I know I can ...",,,
Bigga Rankin,"""Ice Cream Truck Baloney Sandwich"" by Big Nibba and Wibba Dawg:
    Big Nibba!
    And Wibba Dawg! Yeah Yeah
    I went to the store to get some cheese
    Found out it was expired...","""Weekly Cleanup: 4/7"" by Genius Transcribers:
    Example Annotation
    Projects
    Falling In Reverse - Coming Home
    1. Coming Home   
    2. Broken   
    3. Loser...",,,,"""Weekly Cleanup: 4/7"" by Genius Transcribers:
    Example Annotation
    Projects
    Falling In Reverse - Coming Home
    1. Coming Home   
    2. Broken   
    3. Loser...",,,"""Out The Mud 1/29/21"" by Spotify:
    1. DaBaby- 8 Figures (feat. Meek Mill)
    2. Lil Durk- Finesse Out The Gang Way (feat. Lil Baby)
    3. Sli...","""Out The Mud 1/29/21"" by Spotify:
    1. DaBaby- 8 Figures (feat. Meek Mill)
    2. Lil Durk- Finesse Out The Gang Way (feat. Lil Baby)
    3. Sli..."
Bilal,"""Humble"" by Bright Campa:
    Woke up in the morning looking into the mirror
    Man I am horny
    Heading back to my room, there goes my...","""Black History Month"" by Digster Playlists:
    Kendrick Lamar - All The Stars (with SZA)
    2Pac - Changes (feat. Talent)
    Sam Cooke - A Change Is Gonn...","""All the songs i enjoy listening to because i feel like making it"" by Chams called me cutie at 11:05 pm on 4/15/21:
    #
    03' Adolescence - J. Cole
    1, 2 - mxmtoon
    1.5 - 21 Savage feat. Offset
    151 Rum - JID
    17again - Powf...","""DNA"" by Starlito & Don Trip:
    Welcome to the heat academy
    
    There's nothing I can do
    There's nothing I can say
    'Cause she's already...","""Nicole"" by Cult of the Damned:
    Verse 1: Lee Scott
    I'm the one- I'm the o-
    I'm a one man army like Ason
    There isn't a problem I'm no...","""Wedding Rings"" by Knucks:
    Nodaysoff
    
    Yo, I told her baby take it slow, heeding my advice
    I think she's tryna cuff man, reading...","""These Walls"" by Kendrick Lamar:
    I remember you was conflicted, misusing your influence
    Sometimes, I did the same
    
    (Woman moaning)
    If...","""Down&Out"" by Lank The Lord:
    I'm getting held down
    I'm tryna hold out
    I'm tryna throw down 'fore I get thrown out
    Oh lord
    I'm fee...","""Pray For Me"" by BillyTheKidd386:
    Yeah, I just want my mind back
    I just wanna feel right
    Man, I just wanna feel like
    There ain't nobod...","""My Spotify Playlist"" by TheHills79:
    1.	“Bang Bang” by Jessie J ft. Ariana Grande, Nicki Minaj
    2.	“Jealous” by Nick Jonas
    3.	“American Dr..."
Bill Pinkney,,"""De-Loused in the Comatorium (Companion Book)"" by Cedric Bixler-Zavala:
    Cerpin Taxt stood high above the wobbling miscarriage of oncoming traffic, he was weak in the knees....","""Lord of the Flies (Chap. 1: The Sound of the Shell)"" by William Golding:
    CHAPTER ONE: The Sound of the Shell
    The boy with fair hair lowered himself down the last few feet of...",,"""The Heat Death of The Universe"" by Pamela Zoline:
    (1) ONTOLOGY That branch of metaphysics which concerns itself with the problems of the nature of exi...","""The Heat Death of The Universe"" by Pamela Zoline:
    (1) ONTOLOGY That branch of metaphysics which concerns itself with the problems of the nature of exi...","""The Heat Death of The Universe"" by Pamela Zoline:
    (1) ONTOLOGY That branch of metaphysics which concerns itself with the problems of the nature of exi...","""Alden v. Maine"" by The Supreme Court of the United States:
    527 U.S. 706 (1999)
    ALDEN et al.
    v.
    MAINENo. 98-436.United States Supreme Court.
    Argued March 31, 19...",,"""Alden v. Maine"" by The Supreme Court of the United States:
    527 U.S. 706 (1999)
    ALDEN et al.
    v.
    MAINENo. 98-436.United States Supreme Court.
    Argued March 31, 19..."
Billy Idol,"""Rebel Yell"" by Billy Idol:
    Last night a little dancer came dancing to my door
    Last night a little angel came pumping on my floo...","""White Wedding, Pt. 1"" by Billy Idol:
    Hey, little sister, what have you done?
    Hey, little sister, who's the only one?
    Hey, little sister, ...","""Night Crawling"" by Miley Cyrus:
    Sometimes I'm good for nothin'
    Sometimes the best you've ever had
    Sometimes I need your lovin'
    Somet...","""Eyes Without a Face"" by Billy Idol:
    I'm all out of hope
    One more bad dream
    Could bring a fall
    When I'm far from home
    Don't call me on th...",,,"""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Hot In the City"" by Billy Idol:
    (Stranger, stranger, stranger, stranger)
    
    It's hot here at night, lonely, black and quiet
    On a hot s...","""Sweet Sixteen"" by Billy Idol:
    I'll do anything
    For my sweet sixteen
    And I'll do anything
    For little runaway child
    
    Gave my heart a...","""All the songs i enjoy listening to because i feel like making it"" by Chams called me cutie at 11:05 pm on 4/15/21:
    #
    03' Adolescence - J. Cole
    1, 2 - mxmtoon
    1.5 - 21 Savage feat. Offset
    151 Rum - JID
    17again - Powf..."
Billy Marchiafava,"""Bad Boy"" by Yung Bae, bbno$ & Billy Marchiafava:
    Ayy, uh-huh
    Yeah, I'm a bad boy doin' good things
    Got a lemonade whip, chicken wings
    With a bad bitc...","""Cheesecake"" by Billy Marchiafava:
    I-I do my dance while I’m counting up the bands
    (Brrra! Aye, yeah, what?)
    Bad bitch with me while we...","""Ligma"" by Billy Marchiafava:
    I'm so sick bitch I got ligma (Ayy, yuh)
    I just pulled up on yo bitch (Ayy)
    My dick small like a pen...","""Disco Type Beat"" by Billy Marchiafava:
    This the new wave, turn it up
    I'm in the backseat chillin with your girl wassup
    She wanna talk all d...","""Yikes!"" by Billy Marchiafava:
    Aye, Billy Had to kill it
    Beat so sick I'm pukin'
    I just had to do it
    (No!)
    Yeah, I just had to do i...","""Real Milf Hours"" by Billy Marchiafava:
    Aye, I'm lookin' for a 50 year old goth bitch with fake nails, the fuck you talkin' 'bout?
    She gotta...","""Rings"" by Billy Marchiafava:
    Smokin' on pack
    (Ayy, yah, yah, yah, ayy, yah)
    Bitch throw me that back
    (Ayy, ayy, what, what, ayy, ...","""LARA CROFT"" by Eli. & Billy Marchiafava:
    TikTok thots make my heart go soft
    With their big fat titties like Lara Croft
    I got a big booty bitc...","""With Ease"" by Billy Marchiafava:
    ANH, what the fuck, bitch?
    I'm trying to get rich as shit
    I'ma pull up with a big bag and sew that s...","""Leveled Up"" by Billy Marchiafava:
    Aye, you already know what the fuck going on
    I'm on my ignorant shit tonight
    We about to get fucking..."
Billy May,,"""6lock$"" by K10UD9:
    Laykx
    
    Pull up with Glocks
    Yeah, you know I came out the block
    Pretty bitch, she suck on my cock
    Hid...","""List of Road Trip Songs"" by Genius Lists:
    In alphabetical order by title:
    Can't find your song?  Please add it and link it!
    (But please, check...","""De Vita Caesarum: Caius Caligula  (The Lives of the Caesars: Caius Caligula)"" by Suetonius:
    I. GERMANICUS, father of Gaius Caesar, son of Drusus and the younger Antonia, after being adopted by...","""Domain Expansion"" by GameboyJones:
    Ay my gang, we don't tread lightly
    Make my day, yeah please come fight me
    Take my aim, then blow the...","""Scarface Script"" by Oliver Stone:
    Scarface
    By: Oliver Stone
    ""Enjoy yourself -- every day above ground is a good day. - ANONYMOUS, MIAM...","""Death By Landscape"" by Margaret Atwood:
    Now that the boys are grown up and Rob is dead, Lois has moved to a condominium apartment in one of ...","""Band Names"" by Rock Genius:
    0-9
    10 Years
    100 Demons
    1000 Homo DJs
    12 Stones
    1349
    16Volt
    The 1975
    2nd and Archer
    2x4
    3
    3 Doors Do...","""Lunch Table Freestyle (prod. Carter Metro)"" by Gonzalo Zavala:
    (Woah! Carter Made This Beat?!)
    Rappers that I correct, I’m not talking Grammarly
    On the beat we mak...","""Hip-Hop’s Greatest Albums By Year"" by Ego Trip Magazine:
    1979-851. Run-D.M.C., Run-D.M.C. (Profile '84)
    2. L.L. Cool J, Radio (Def Jam '85)
    3. Wild Style Ori..."
Billy Squier,"""The Stroke - 2002 - Remaster"" by Billy Squier:
    Now everybody have you heard
    If you're in the game, then the stroke's the word
    Don't take no rhythm,...","""Lonely Is The Night - 2010 - Remaster"" by Billy Squier:
    Lonely is the night when you find yourself alone
    Your demons come to light and your mind is not your...","""Dizaster vs. Soul Khan"" by King of the Dot:
    See back then, the goal was musical buzz
    ""What? You're saying you're above battle rap?""
    No, you dumb...","""Everybody wants you - 2002 - remaster"" by Billy Squier:
    You see em coming at you every night
    Strung on pretension they fall for you at first sight
    You know ...","""Do Not Sell at Any Price"" by Amanda Petrusich:
    I first met the collector Christopher King on the same afternoon Hurricane Irene came whipping throu...","""Rock Me Tonite"" by Billy Squier:
    I'm rockin' tonite--I'm walkin' on air
    Gonna find me some trouble--gonna grab my share
    I want ya ton...","""Everybody Wants You"" by Billy Squier:
    You see 'em coming at you every night
    Strung on pretension, they fall for you at first sight
    You kno...","""Do Not Sell at Any Price"" by Amanda Petrusich:
    I first met the collector Christopher King on the same afternoon Hurricane Irene came whipping throu...","""Emotions In Motion"" by Billy Squier:
    Bend your back by the light o' the sun
    You come to the business--you're the number one
    When twilight...","""Love Is the Hero"" by Billy Squier:
    There is a course in life
    So all the teachers say
    It calls you day and night
    It takes your thoughts ..."
Billy Talent,"""Red Flag"" by Billy Talent:
    Cast off the crutch that kills the pain
    The red flag waving never meant the same
    The kids of tomorro...","""Fallen Leaves"" by Billy Talent:
    In a crooked little town
    They were lost and never found
    Fallen leaves, fallen leaves
    Fallen leaves o...","""Rusted From The Rain"" by Billy Talent:
    I stumble through the wreckage, rusted from the rain
    There’s nothing left to salvage, no one left to...","""Try Honesty"" by Billy Talent:
    Well, I tripped, I fell down, naked
    Well, I scratched my knees, they bled
    Sew up my eyes, need no mo...","""Reckless Paradise"" by Billy Talent:
    C'mon!
    
    Stuck in a crisis
    Without a conscience
    Trapped in a place we don't belong
    There's no more he...","""Viking Death March"" by Billy Talent:
    Down, let's take it down – raise up their heads on a stake
    We will show no mercy on evolution's mist...","""Surrender"" by Billy Talent:
    She reads a book from across the street
    Waiting for someone that she'll never meet
    Talk over coffee ...","""Devil On My Shoulder"" by Billy Talent:
    As I get closer, my dreams get farther
    I climb that ladder, but you kick it over
    Thirsty for water, ...","""Devil In A Midnight Mass"" by Billy Talent:
    A devil in a midnight mass
    He preyed behind stained glass
    A memory of Sunday class
    Resurrected from ...","""I Beg To Differ (This Will Get Better)"" by Billy Talent:
    One day you're gonna wake up from this dream
    To find out that your life ain't what it seems
    
    When yo..."
Binaural Beats Sleep,"""For Deep Sleep - Delta Binaural Beats"" by Binaural Beats:
    This music does not contain words","""Restful Sleep Music With Nature Sounds and White Noise"" by Binaural Beats Brainwave Entrainment:
    This music does not contain words",,,"""Poet Laureate Infinity"" by Canibus:
    I got bored with 4 beats to the measure
    Professor speech compressor terminated his tenure to explore...","""IX. Little God"" by Dave Malloy:
    Hi. Uh, I’m Marvin. I’ve been coming here for a while, but I haven’t ever shared. I'm a—well my thin...",,"""Poet Laureate Infinity"" by Canibus:
    I got bored with 4 beats to the measure
    Professor speech compressor terminated his tenure to explore...",,"""Ocean Wave and Tropical Ocean Sounds at Sunset Binaural Beat Recordings - Nature baby Music for Baby Sleep, New Born Sleeping and White Noise Relaxation"" by Sounds of Nature White Noise for Mindfulness Meditation and Relaxation:
    This music does not contain words"
Bingo Players,"""Get Up (Rattle)"" by Bingo Players:
    This house party is crazy
    My crew is hella wavy
    Yo, flip the cup, then say what's up
    Then slide out ...","""Devotion (2020 Remix)"" by Bingo Players:
    I wanna
    I wanna
    I wanna
    I wanna
    I wanna, I wanna, I wanna, I wanna
    I wanna, I wanna, I...
    I wanna gi...","""Rattle"" by Bingo Players:
    Get up!
    Get up!","""Berkshire Hathaway Chairman’s Letter 2015"" by Warren Buffett:
    Berkshire’s Performance vs. the S&P 500
    Annual Percentage Change
    Year
    in Per-Share
    Book Value of
    Ber...","""Freaking Me Out - Bingo Players Remix"" by Ava Max:
    Empty mansion, in the rain just off the coast
    Is the vibe now, that I feel inside my soul
    Like a spi...",,"""Brown v. Entertainment Merchants Association"" by The Supreme Court of the United States:
    Supreme Court
    BROWN v. ENTERTAINMENT MERCHANTS ASSN. ( No. 08-1448 )
    556 F. 3d 950, affirmed.
    Syllab...","""Cry (Just a Little)"" by Bingo Players:
    Oh no, caught up in the middle
    I cry just a little when I think of letting go
    Oh no, gave up for the...","""Cryptonomicon"" by Neal Stephenson:
    PROLOGUE
    Two tires fly. Two wail.
    A bamboo grove, all chopped down
    From it, warring songs
    ....IS THE...","""Attention (Bingo Players Remix)"" by Charlie Puth:
    Woah-oah, hm-hmm
    
    You've been runnin' 'round, runnin' 'round, runnin' 'round
    Throwin' that dirt all ..."
Binum,"""Ko Je Opljackao Zlatara"" by Deniro:
    Po gradu isto furaju se berete
    Fico nema za gudru pa pljacka supermarkete
    Tako je to ovde, sve se sa...","""A Portrait of the Artist as a Young Man (Chap. 5)"" by James Joyce:
    He drained his third cup of watery tea to the dregs and set to chewing the crusts of fried bread tha...","""BIBI - 비누 (BINU) (Romanized)"" by Genius Romanizations:
    Saramdeuri malhadeora
    Saegeonmanyang kireiidatte
    Innocent as newborn infant
    Bibi naked chakadeora
    
    S...","""The Top 150 Fastest Rappers"" by NahDah Vebb:
    ALERT: If any of these verses say 'Needs Transcribing', this means that I don't have the lyrics for ...","""Tamburlaine the Great- Part 1 (Act 4 Scene 4)"" by Christopher Marlowe:
    SCENE IV.
    A banquet set out; and to it come TAMBURLAINE all in
    scarlet, ZENOCRATE, THERIDAMAS, TECHE...","""Finnegan’s Wake (Chap. 1.6)"" by James Joyce:
    So?
    Who do you no tonigh, lazy and gentleman?
    The echo is where in the back of the wodes; callhim fo...","""달콤한 빈말 (Sweet Lies)"" by Baek A Yeon (백아연):
    Hangul
    
    조만간 얼굴 보자
    언제 밥 한번 먹자
    좋아 좋아 난 오늘도 기다려
    더 예뻐진 것 같네
    뭐가 이리 달콤해
    So sweet, so sweet
    그럼 나 또 기대해
    
    빠라밤...","""One Step Away"" by Juanita Bynum:
    One step away
    Oh my my my
    One step away
    One step away
    Every time I feel the pain
    One step away
    One s...","""Le SEUM du SENS"" by Dany Caligula:
    C'est quoi le bonheur?
    D'aussi loin que je me souvienne, je me pose la question.
    J'ai cherché, au-de...","""Maki Sall Music"" by Booba:
    OK
    Soninké
    Yankee Alpha Fox-deux-fois Alpha
    Back to the Future
    92i dans la maison
    Demande à Macky Sa..."
Bipolar Sunshine,"""Top Tracks of 2016 - Global"" by Spotify:
    Drake - One Dance feat. Kyla & WizKid
    Mike Posner - I Took a Pill In Ibiza (SeeB Remix)
    The Chainsmo...","""February 2020 Singles Release Calendar"" by Genius:
    2/1
    FELIX SANDMAN - ""BOYS WITH EMOTIONS""
    GARZI - ""Califoria (Demo)""
    Malou Prytz - ""Ballerina""
    Rob Ma...",,,"""Middle"" by DJ Snake:
    Starin' at two different views on your window ledge
    Coffee has gone cold, it's like time froze
    
    Ther...","""Top Tracks of 2016 - Global"" by Spotify:
    Drake - One Dance feat. Kyla & WizKid
    Mike Posner - I Took a Pill In Ibiza (SeeB Remix)
    The Chainsmo...","""Top Tracks of 2016 - Global"" by Spotify:
    Drake - One Dance feat. Kyla & WizKid
    Mike Posner - I Took a Pill In Ibiza (SeeB Remix)
    The Chainsmo...","""Nostalgic Songs"" by Formerly VinylZombie_MCR:
    Elementary School and Younger
    Adam Lambert - Whataya Want From Me
    Adele - Rolling In The Deep
    Black ...",,
Birdman,"""Tyelr’s Untranscribed Song Page"" by Tyelr:
    RBL Larry by Larry June and Black C
    Honey Freestyle by Larry June and Jay Worthy
    Oranges on Grape by...","""Hollow Da Don vs. Tsu Surf"" by URLtv:
    I said fuck Surf, I know who y'all want to see me against
    And most think I can't match his wits
    He h...","""Pop Bottles - Main"" by Birdman:
    Okay we poppin' champagne like we won a championship game
    Look like I got on a championship ring
    Cau...","""Leather So Soft"" by Birdman:
    My leather so soft, my top so soft
    I'll probably have it off, these niggas so soft
    And I go so hard
    ...","""Ride"" by Birdman:
    Yeah, yeah (Yeah, yeah)
    Stunna man (Stunna man, brr)
    38 baby, you know? (38 baby, you know?)
    From th...","""Cap Talk"" by Birdman:
    Super Earz
    D-Roc, D-Roc
    
    This for my niggas who ain't here (Ain't here)
    I traveled some miles to see...","""Presidential"" by Birdman & Jacquees:
    Hey
    Yeah, you know
    Screamin' Rich Gang
    DRoc-DRoc-DRoc
    
    I stack the money 'til I seen three commas, y...","""Y.U. Mad"" by Birdman:
    I told Stunna I said you know they on that regular degular
    I said me… I’m on that 1.5 on a skinny ti...","""Just Another Gangsta"" by Birdman & Juvenile:
    Yeah, yeah, yeah, yeah, yeah
    Yeah
    Bitch (Bitch)
    Nino, look
    D-Roc
    
    I pull up in that yeah, two-forty ...","""Always Strapped"" by Birdman:
    *Aww!*
    *Aww! Aww!*
    CMB! We in the building
    Yeah
    Swagged out, 100
    
    Always strapped when I hit the clu..."
Birdy,"""Skinny Love"" by Birdy:
    Come on, skinny love, just last the year
    Pour a little salt, we were never here
    My, my, my, my, my, ...","""Not About Angels"" by Birdy:
    We know full well there's just time...
    So is it wrong to dance this line?
    If your heart was full of ...","""Deep End"" by Birdy:
    Someone told me that I’ll want more
    That I'll feel half empty, ripped and torn
    They say there'll be ...","""People Help the People"" by Birdy:
    God knows what is hiding in those weak and drunken hearts
    Guess he kissed the girls and made them cr...","""Let It All Go"" by Birdy + RHODES:
    I've been sleepless at night
    Cause I don't know how I feel
    I've been waiting on you
    Just to say some...","""Wings"" by Birdy:
    Sunlight comes creepin' in
    Illuminates our skin
    We watched the day go by
    Stories of what we did
    It m...","""Surrender"" by Birdy:
    Ooh, ooh-ooh, ooh, ooh
    
    Strangers wilderness inside
    The heart trips from hot to cold
    You think he ca...","""June 2019 Album Release Calendar"" by Genius:
    6/1
    Jai Paul - Leak 04-13 (Bait Ones) - 16/16
    Koethe - Bones - 11/11
    ImDontai - Haphazard - 2/7
    6/3
    ...","""Loneliness"" by Birdy:
    Ooh-ooh-ooh-ooh
    
    It's getting hard to hide this tainted lullaby
    I'm talking in my sleep
    The sky is f...","""Deepest Lonely"" by Birdy:
    Echoes through my heart
    Echoes through my heart (Oh)
    Echoes through my heart
    Echoes through my heart..."
Bishop Briggs,"""River"" by Bishop Briggs:
    Like a river, like a river, sh-
    Like a river, like a river, sh-
    Like a river, like a river
    Shut your...","""White Flag"" by Bishop Briggs:
    Take a hit, shoot me down, shoot me down
    I will never hit the ground, hit the ground
    Playing dead, I...","""Never Tear Us Apart"" by Bishop Briggs:
    Don't ask me what you know is true
    Don't have to tell you, oh, I love your precious heart
    
    I was sta...","""HIGHER"" by Bishop Briggs:
    Higher, your love has set me free
    Now nothing's out of reach
    Higher, higher, ooh
    
    I run the days int...","""CHAMPION"" by Bishop Briggs:
    Alone in my car, I'm in a parking lot, darkest spot in my mind
    My tongue is dry, why do I crumble qu...","""Be Your Love"" by Bishop Briggs:
    I'ma be your love, I'ma be your love
    I'ma be your love, I'ma be your love
    
    Stone cold, out of sight
    ...","""Dark Side"" by Bishop Briggs:
    Welcome to my dark side
    (Ooh-ooh, ooh-ooh)
    
    Welcome to my dark side
    It's gonna be a long night
    Oh, l...","""The Way I Do"" by Bishop Briggs:
    Lay my heart down, laid it down for you
    Laid it down for you, oh
    Put my arms out, put 'em out to you...","""JEKYLL & HIDE"" by Bishop Briggs:
    Born in a time of love
    Facing the winds of fate
    Storms brewing up above
    I was breakin', I was beggin...","""Wild Horses"" by Bishop Briggs:
    You hold me down in the best way
    No quarter from these chains that I've
    Slapped on my heart for a fe..."
Bison,,"""Esham’s Boomin’"" by Esham:
    Yo man, let me get one of them big motherfuckers and shit in there
    (All right man, here you go man, ...","""Dimes&Nicks"" by ILL Collective:
    The ish Just stepped in
    They asked , why he kill beats
    They say thats just him
    Matter fact he gotta ...","""The Finale Script"" by Seinfeld:
    OPENING MONOLOGUE
    It seems like whenever these office people call you in for a meeting, the whole th...","""No Fux Given"" by Diggz Da Prophecy:
    {Chorus}
    I said tell me, What's the deal?
    Cause I only what the real
    Putting on for my city
    Got that...","""A logarithmic timeline of the universe"" by RobotWisdom:
    # ten billion years ago (astronomical)
    # one billion years ago (geological)
    # 100 million years ago ...","""BasedGod Strugglin"" by Lil B:
    Certified Hitz!
    Erybody know that I fucking rep the—
    
    Erybody know that I fuckin' rep the Gold House...",,"""C’est Bibus au téléphone"" by Le Klub des 7:
    (bruits de téléphone à cadran)
    Ah merde, fait chier
    (bruits de téléphone à cadran)
    (tonalité à l'anc...","""The Finale Script"" by Seinfeld:
    OPENING MONOLOGUE
    It seems like whenever these office people call you in for a meeting, the whole th..."
Bizzy,"""No Love"" by RAM (Not Russia):
    No love (no love)
    They don’t wanna show love (no love) 
    They didn’t wanna show love til we made to t...","""Artists To Look Out For In 2016"" by DJay Kennedy:
    2015 has been a stellar year for Hip Hop and so I have decided to compile a list of artists to keep ...","""One Night Stand"" by Tech N9ne:
    I just want a one night stand
    
    Peep me, uh
    I rock and Nina while I get cleaner with pieces I purchas...","""My Life"" by Bone Thugs-N-Harmony:
    Hard times, got my mind in a bind
    I'll go crazy, tryin to climb out the grime
    That's in my life, I'm...","""Erbody But Me"" by Tech N9ne:
    Okay
    
    Walk right up in the room like fuck er'body but me (er'body but me)
    Lookin' like it's all good...","""Drag ’Em"" by Rozz Dyliams:
    Looking at the alphabet up on the scale, no lookin' back
    Haters scared stiff, scared sick
    I brought ...","""You Are A Miracle"" by IU (아이유):
    서둘러 온 겨울 서러워서
    어제 별이 그리 밝았는지
    
    서두르는 시간 아쉬워서
    어제 꿈이 그리 길었는지
    
    사랑하고 있나요 그대의 하루들을
    사랑하고 있나요 그대의 사람들을
    
    난 믿어요 ...","""Genius Users Summer Playlist"" by Genius Users:
    HgsCa
    Dubbelquatrin om tennis
    ---
    Zenith9
    Summer 2016
    D.R.A.M ft Lil Yachty - Broccoli
    Kano - T-shir...","""True Romance"" by Ryan Beatty:
    :
    Sweetheart, did you  you know that you're a star?
    Shining brighter than the Northern Light, bigger...","""Erk & Jerk"" by Sammy da don:
    Slide stop do da robocop reverse to da erk & jerk make dat big
    Booty twerk put them hips to work, ma..."
Björk,"""It’s Oh So Quiet"" by Björk:
    Shh, shh
    
    It's oh, so quiet, shh, shh
    It's oh, so still, shh, shh
    You're all alone, shh, shh
    And so ...","""Venus as a Boy"" by Björk:
    His wicked sense of humour
    Suggests exciting sex
    His fingers, they focus on her
    Touches, he's Venus ...","""Army of Me"" by Björk:
    Stand up
    You've got to manage
    I won't sympathize
    Anymore
    
    And if you complain once more
    You'll meet ...","""Human Behaviour"" by Björk:
    If you ever get close to a human
    And human behaviour
    Be ready, be ready to get confused
    There's defi...","""Hyper-ballad"" by Björk:
    We live on a mountain
    Right at the top
    There's a beautiful view
    From the top of the mountain
    Every m...","""Big Time Sensuality"" by Björk:
    I can sense it
    Something important
    Is about to happen
    It's coming up
    
    It takes courage to enjoy it
    T...","""Jóga"" by Björk:
    All these accidents that happen
    Follow the dot
    Coincidence makes sense
    Only with you
    You don't have ...","""All Is Full of Love"" by Björk:
    You'll be given love
    You'll be taken care of
    You'll be given love
    You have to trust it
    
    Maybe not fr...",,"""Pagan Poetry"" by Björk:
    Pedalling through
    The dark currents
    I find an accurate copy
    A blueprint of the pleasure in me
    
    (Swir..."
Black,"""RIP Juice WRLD"" by Trilla Kid:
    Ayy Fitz, this is crazy
    They say the good die young and it's true
    I don't have a leader I don't know...","""Wishing Well"" by Black Sabbath:
    Throw me a penny and I'll make you a dream
    You find that life's not always what it seems, no no
    Then...","""Robbery"" by Black Gwaluh:
    Boy, I'm on the Southside, twin KelTecs (Southside)
    (Jurassic Park)
    Niggas talkin' crazy but they ai...","""Velvet Skies"" by LorryOfficial:
    Valentine
    In December
    You say you love me, but you don't remember my name
    You caused me pain
    All the...","""Today’s Top Hits 9/25/20"" by Spotify:
    1. Travis Scott- FRANCHISE (feat. Young Thug & M.I.A.)
    2. 24kGoldn- Mood (feat. iann dior)
    3. Justin...","""New Music Friday 1/15/21"" by Spotify:
    Bad Boy (with Young Thug) - Juice WRLD
    Roaring 20s - Flo Milli
    Girls Like Us - Zoe Wees
    Masterpiece ...","""August 2020 Singles Release Calendar"" by Genius:
    8/1
    Rob Markman - ""Easy Money Sniper""
    vowl. & Take/Five - ""sonar""
    wiley hopkins - ""honey, i just""
    YS...","""Real Talk"" by Dot Rotten:
    You said so what if I recorded and mixed down P Money Is Power
    I made your music sound legit so you'...","""June 2020 Singles Release Calendar"" by Genius:
    6/1
    Conway the Machine - ""Front Lines""
    Dan Bull - ""Gamers Without Borders""
    Eric Bellinger - ""Enough""...","""The Railway Prince Hotel"" by Tullycraft:
    You're fairly gifted at attracting strays
    Turn around, we're spending four full days
    And summer nigh..."
Black Coffee,"""Rainy Day"" by Josh Martinez:
    I woke up this morning and realized
    There is no job that I'd ever want
    To spend my whole life doing
    ...","""Black Coffee"" by Black Flag:
    Who are you with? Where have you been
    Imagination streams thoughts, reason can't come in
    Staring at ...","""Chapter 2"" by Marcel Proust:
    CHAPTER TWO
    THE MYSTERIES OF ALBERTINE — THE GIRLS WHOM SHE SEES REFLECTED IN THE GLASS — THE OTHER ...","""Alyona Alyona — Лiтак (Plane) (English Translation)"" by Genius English Translations:
    My plane, my plane
    It’s hidden in summers
    My plane, my plane
    It’s hidden in summers
    My plane, my pla...","""All the songs i enjoy listening to because i feel like making it"" by Chams called me cutie at 11:05 pm on 4/15/21:
    #
    03' Adolescence - J. Cole
    1, 2 - mxmtoon
    1.5 - 21 Savage feat. Offset
    151 Rum - JID
    17again - Powf...",,"""Other Half Of The Sky"" by Moon Safari:
    Hope's as high, as the sun today
    Once around the world, now coming your way
    The river runs, down the...","""Big Red Son"" by David Foster Wallace:
    THE AMERICAN ACADEMY of Emergency Medicine confirms it: Each year, between one and two dozen adult U...","""A Million and One Things to Do"" by Time Machine (Los Angeles & Rhode Island Hip Hop Group):
    Time Machine - “A Million and One Things to Do”
    
    
    
    ""Get busy, y'all"" - Sample from Joeski Love - ""Pe...","""Nicotina (She’s All That)"" by Big Sugar:
    Light it up
    We've been a little more than just friends
    And in most cases that's just where it ends
    B..."
